"item_id","context_id","context","case","limit","target_type","target_verb","target_plausibility","filename","Group"
92,23,"ディーラーを","o","long","Nominative_Plausible","配る","implausible","o_long_23","B"
93,24,"看守が","ga","short","Nominative_Plausible","見張る","plausible","ga_short_24","D"
94,24,"看守を","o","short","Nominative_Plausible","見張る","implausible","o_short_24","A"
95,24,"看守が","ga","long","Nominative_Plausible","見張る","plausible","ga_long_24","B"
96,24,"看守を","o","long","Nominative_Plausible","見張る","implausible","o_long_24","C"
97,25,"師匠が","ga","short","Nominative_Plausible","教える","plausible","ga_short_25","A"
98,25,"師匠を","o","short","Nominative_Plausible","教える","implausible","o_short_25","B"
99,25,"師匠が","ga","long","Nominative_Plausible","教える","plausible","ga_long_25","C"
100,25,"師匠を","o","long","Nominative_Plausible","教える","implausible","o_long_25","D"
101,26,"板前が","ga","short","Nominative_Plausible","調理する","plausible","ga_short_26","B"
102,26,"板前を","o","short","Nominative_Plausible","調理する","implausible","o_short_26","C"
103,26,"板前が","ga","long","Nominative_Plausible","調理する","plausible","ga_long_26","D"
104,26,"板前を","o","long","Nominative_Plausible","調理する","implausible","o_long_26","A"
105,27,"クワガタが","ga","short","Nominative_Plausible","はさむ","plausible","ga_short_27","C"
106,27,"クワガタを","o","short","Nominative_Plausible","はさむ","implausible","o_short_27","D"
107,27,"クワガタが","ga","long","Nominative_Plausible","はさむ","plausible","ga_long_27","A"
108,27,"クワガタを","o","long","Nominative_Plausible","はさむ","implausible","o_long_27","B"
109,28,"探偵が","ga","short","Nominative_Plausible","調べる","plausible","ga_short_28","D"
110,28,"探偵を","o","short","Nominative_Plausible","調べる","implausible","o_short_28","A"
111,28,"探偵が","ga","long","Nominative_Plausible","調べる","plausible","ga_long_28","B"
112,28,"探偵を","o","long","Nominative_Plausible","調べる","implausible","o_long_28","C"
113,29,"スパイが","ga","short","Nominative_Plausible","偵察する","plausible","ga_short_29","A"
114,29,"スパイを","o","short","Nominative_Plausible","偵察する","implausible","o_short_29","B"
115,29,"スパイが","ga","long","Nominative_Plausible","偵察する","plausible","ga_long_29","C"
116,29,"スパイを","o","long","Nominative_Plausible","偵察する","implausible","o_long_29","D"
117,30,"お坊さんが","ga","short","Nominative_Plausible","説教する","plausible","ga_short_30","B"
118,30,"お坊さんを","o","short","Nominative_Plausible","説教する","implausible","o_short_30","C"
119,30,"お坊さんが","ga","long","Nominative_Plausible","説教する","plausible","ga_long_30","D"
120,30,"お坊さんを","o","long","Nominative_Plausible","説教する","implausible","o_long_30","A"
121,31,"用心棒が","ga","short","Nominative_Plausible","守る","plausible","ga_short_31","C"
122,31,"用心棒を","o","short","Nominative_Plausible","守る","implausible","o_short_31","D"
123,31,"用心棒が","ga","long","Nominative_Plausible","守る","plausible","ga_long_31","A"
124,31,"用心棒を","o","long","Nominative_Plausible","守る","implausible","o_long_31","B"
125,32,"キャッチャーが","ga","short","Nominative_Plausible","捕る","plausible","ga_short_32","D"
126,32,"キャッチャーを","o","short","Nominative_Plausible","捕る","implausible","o_short_32","A"
127,32,"キャッチャーが","ga","long","Nominative_Plausible","捕る","plausible","ga_long_32","B"
128,32,"キャッチャーを","o","long","Nominative_Plausible","捕る","implausible","o_long_32","C"
129,33,"スナイパーが","ga","short","Nominative_Plausible","撃つ","plausible","ga_short_33","A"
130,33,"スナイパーを","o","short","Nominative_Plausible","撃つ","implausible","o_short_33","B"
131,33,"スナイパーが","ga","long","Nominative_Plausible","撃つ","plausible","ga_long_33","C"
132,33,"スナイパーを","o","long","Nominative_Plausible","撃つ","implausible","o_long_33","D"
133,34,"客人が","ga","short","Nominative_Plausible","訪ねる","plausible","ga_short_34","B"
134,34,"客人を","o","short","Nominative_Plausible","訪ねる","implausible","o_short_34","C"
135,34,"客人が","ga","long","Nominative_Plausible","訪ねる","plausible","ga_long_34","D"
136,34,"客人を","o","long","Nominative_Plausible","訪ねる","implausible","o_long_34","A"
137,35,"コーチが","ga","short","Nominative_Plausible","指導する","plausible","ga_short_35","C"
138,35,"コーチを","o","short","Nominative_Plausible","指導する","implausible","o_short_35","D"
139,35,"コーチが","ga","long","Nominative_Plausible","指導する","plausible","ga_long_35","A"
140,35,"コーチを","o","long","Nominative_Plausible","指導する","implausible","o_long_35","B"
141,36,"もぐらが","ga","short","Nominative_Plausible","掘る","plausible","ga_short_36","D"
142,36,"もぐらを","o","short","Nominative_Plausible","掘る","implausible","o_short_36","A"
143,36,"もぐらが","ga","long","Nominative_Plausible","掘る","plausible","ga_long_36","B"
144,36,"もぐらを","o","long","Nominative_Plausible","掘る","implausible","o_long_36","C"
145,37,"業者が","ga","short","Nominative_Plausible","販売する","plausible","ga_short_37","A"
146,37,"業者を","o","short","Nominative_Plausible","販売する","implausible","o_short_37","B"
147,37,"業者が","ga","long","Nominative_Plausible","販売する","plausible","ga_long_37","C"
148,37,"業者を","o","long","Nominative_Plausible","販売する","implausible","o_long_37","D"
149,38,"大工が","ga","short","Nominative_Plausible","建てる","plausible","ga_short_38","B"
150,38,"大工を","o","short","Nominative_Plausible","建てる","implausible","o_short_38","C"
151,38,"大工が","ga","long","Nominative_Plausible","建てる","plausible","ga_long_38","D"
152,38,"大工を","o","long","Nominative_Plausible","建てる","implausible","o_long_38","A"
153,39,"考古学者が","ga","short","Nominative_Plausible","発掘する","plausible","ga_short_39","C"
154,39,"考古学者を","o","short","Nominative_Plausible","発掘する","implausible","o_short_39","D"
155,39,"考古学者が","ga","long","Nominative_Plausible","発掘する","plausible","ga_long_39","A"
156,39,"考古学者を","o","long","Nominative_Plausible","発掘する","implausible","o_long_39","B"
157,40,"きつねが","ga","short","Nominative_Plausible","化かす","plausible","ga_short_40","D"
158,40,"きつねを","o","short","Nominative_Plausible","化かす","implausible","o_short_40","A"
159,40,"きつねが","ga","long","Nominative_Plausible","化かす","plausible","ga_long_40","B"
160,40,"きつねを","o","long","Nominative_Plausible","化かす","implausible","o_long_40","C"
161,41,"ツチノコが","ga","short","Accusative_Plausible","探す","implausible","ga_short_41","A"
162,41,"ツチノコを","o","short","Accusative_Plausible","探す","plausible","o_short_41","B"
163,41,"ツチノコが","ga","long","Accusative_Plausible","探す","implausible","ga_long_41","C"
164,41,"ツチノコを","o","long","Accusative_Plausible","探す","plausible","o_long_41","D"
165,42,"新卒が","ga","short","Accusative_Plausible","採用する","implausible","ga_short_42","B"
166,42,"新卒を","o","short","Accusative_Plausible","採用する","plausible","o_short_42","C"
167,42,"新卒が","ga","long","Accusative_Plausible","採用する","implausible","ga_long_42","D"
168,42,"新卒を","o","long","Accusative_Plausible","採用する","plausible","o_long_42","A"
169,43,"ラスボスが","ga","short","Accusative_Plausible","倒す","implausible","ga_short_43","C"
170,43,"ラスボスを","o","short","Accusative_Plausible","倒す","plausible","o_short_43","D"
171,43,"ラスボスが","ga","long","Accusative_Plausible","倒す","implausible","ga_long_43","A"
172,43,"ラスボスを","o","long","Accusative_Plausible","倒す","plausible","o_long_43","B"
173,44,"容疑者が","ga","short","Accusative_Plausible","尋問する","implausible","ga_short_44","D"
174,44,"容疑者を","o","short","Accusative_Plausible","尋問する","plausible","o_short_44","A"
175,44,"容疑者が","ga","long","Accusative_Plausible","尋問する","implausible","ga_long_44","B"
176,44,"容疑者を","o","long","Accusative_Plausible","尋問する","plausible","o_long_44","C"
177,45,"カブトムシが","ga","short","Accusative_Plausible","捕まえる","implausible","ga_short_45","A"
178,45,"カブトムシを","o","short","Accusative_Plausible","捕まえる","plausible","o_short_45","B"
179,45,"カブトムシが","ga","long","Accusative_Plausible","捕まえる","implausible","ga_long_45","C"
180,45,"カブトムシを","o","long","Accusative_Plausible","捕まえる","plausible","o_long_45","D"
181,46,"孤児が","ga","short","Accusative_Plausible","引き取る","implausible","ga_short_46","B"
182,46,"孤児を","o","short","Accusative_Plausible","引き取る","plausible","o_short_46","C"
183,46,"孤児が","ga","long","Accusative_Plausible","引き取る","implausible","ga_long_46","D"
184,46,"孤児を","o","long","Accusative_Plausible","引き取る","plausible","o_long_46","A"
185,47,"人質が","ga","short","Accusative_Plausible","解放する","implausible","ga_short_47","C"
186,47,"人質を","o","short","Accusative_Plausible","解放する","plausible","o_short_47","D"
187,47,"人質が","ga","long","Accusative_Plausible","解放する","implausible","ga_long_47","A"
188,47,"人質を","o","long","Accusative_Plausible","解放する","plausible","o_long_47","B"
189,48,"邪魔者が","ga","short","Accusative_Plausible","排除する","implausible","ga_short_48","D"
190,48,"邪魔者を","o","short","Accusative_Plausible","排除する","plausible","o_short_48","A"
191,48,"邪魔者が","ga","long","Accusative_Plausible","排除する","implausible","ga_long_48","B"
192,48,"邪魔者を","o","long","Accusative_Plausible","排除する","plausible","o_long_48","C"
193,49,"遭難者が","ga","short","Accusative_Plausible","救助する","implausible","ga_short_49","A"
194,49,"遭難者を","o","short","Accusative_Plausible","救助する","plausible","o_short_49","B"
195,49,"遭難者が","ga","long","Accusative_Plausible","救助する","implausible","ga_long_49","C"
196,49,"遭難者を","o","long","Accusative_Plausible","救助する","plausible","o_long_49","D"
197,50,"苦学生が","ga","short","Accusative_Plausible","援助する","implausible","ga_short_50","B"
198,50,"苦学生を","o","short","Accusative_Plausible","援助する","plausible","o_short_50","C"
199,50,"苦学生が","ga","long","Accusative_Plausible","援助する","implausible","ga_long_50","D"
200,50,"苦学生を","o","long","Accusative_Plausible","援助する","plausible","o_long_50","A"
201,51,"捕虜が","ga","short","Accusative_Plausible","虐待する","implausible","ga_short_51","C"
202,51,"捕虜を","o","short","Accusative_Plausible","虐待する","plausible","o_short_51","D"
203,51,"捕虜が","ga","long","Accusative_Plausible","虐待する","implausible","ga_long_51","A"
204,51,"捕虜を","o","long","Accusative_Plausible","虐待する","plausible","o_long_51","B"
205,52,"先祖が","ga","short","Accusative_Plausible","祀る","implausible","ga_short_52","D"
206,52,"先祖を","o","short","Accusative_Plausible","祀る","plausible","o_short_52","A"
207,52,"先祖が","ga","long","Accusative_Plausible","祀る","implausible","ga_long_52","B"
208,52,"先祖を","o","long","Accusative_Plausible","祀る","plausible","o_long_52","C"
209,53,"家出少年が","ga","short","Accusative_Plausible","補導する","implausible","ga_short_53","A"
210,53,"家出少年を","o","short","Accusative_Plausible","補導する","plausible","o_short_53","B"
211,53,"家出少年が","ga","long","Accusative_Plausible","補導する","implausible","ga_long_53","C"
212,53,"家出少年を","o","long","Accusative_Plausible","補導する","plausible","o_long_53","D"
213,54,"老人が","ga","short","Accusative_Plausible","介護する","implausible","ga_short_54","B"
214,54,"老人を","o","short","Accusative_Plausible","介護する","plausible","o_short_54","C"
215,54,"老人が","ga","long","Accusative_Plausible","介護する","implausible","ga_long_54","D"
216,54,"老人を","o","long","Accusative_Plausible","介護する","plausible","o_long_54","A"
217,55,"下っ端が","ga","short","Accusative_Plausible","こき使う","implausible","ga_short_55","C"
218,55,"下っ端を","o","short","Accusative_Plausible","こき使う","plausible","o_short_55","D"
219,55,"下っ端が","ga","long","Accusative_Plausible","こき使う","implausible","ga_long_55","A"
220,55,"下っ端を","o","long","Accusative_Plausible","こき使う","plausible","o_long_55","B"
221,56,"部下が","ga","short","Accusative_Plausible","叱る","implausible","ga_short_56","D"
222,56,"部下を","o","short","Accusative_Plausible","叱る","plausible","o_short_56","A"
223,56,"部下が","ga","long","Accusative_Plausible","叱る","implausible","ga_long_56","B"
224,56,"部下を","o","long","Accusative_Plausible","叱る","plausible","o_long_56","C"
225,57,"優秀者が","ga","short","Accusative_Plausible","表彰する","implausible","ga_short_57","A"
226,57,"優秀者を","o","short","Accusative_Plausible","表彰する","plausible","o_short_57","B"
227,57,"優秀者が","ga","long","Accusative_Plausible","表彰する","implausible","ga_long_57","C"
228,57,"優秀者を","o","long","Accusative_Plausible","表彰する","plausible","o_long_57","D"
229,58,"違反者が","ga","short","Accusative_Plausible","取り締まる","implausible","ga_short_58","B"
230,58,"違反者を","o","short","Accusative_Plausible","取り締まる","plausible","o_short_58","C"
231,58,"違反者が","ga","long","Accusative_Plausible","取り締まる","implausible","ga_long_58","D"
232,58,"違反者を","o","long","Accusative_Plausible","取り締まる","plausible","o_long_58","A"
233,59,"死刑囚が","ga","short","Accusative_Plausible","殺す","implausible","ga_short_59","C"
234,59,"死刑囚を","o","short","Accusative_Plausible","殺す","plausible","o_short_59","D"
235,59,"死刑囚が","ga","long","Accusative_Plausible","殺す","implausible","ga_long_59","A"
236,59,"死刑囚を","o","long","Accusative_Plausible","殺す","plausible","o_long_59","B"
237,60,"UFOが","ga","short","Accusative_Plausible","目撃する","implausible","ga_short_60","D"
238,60,"UFOを","o","short","Accusative_Plausible","目撃する","plausible","o_short_60","A"
239,60,"UFOが","ga","long","Accusative_Plausible","目撃する","implausible","ga_long_60","B"
240,60,"UFOを","o","long","Accusative_Plausible","目撃する","plausible","o_long_60","C"
241,61,"孫が","ga","short","Accusative_Plausible","かわいがる","implausible","ga_short_61","A"
242,61,"孫を","o","short","Accusative_Plausible","かわいがる","plausible","o_short_61","B"
243,61,"孫が","ga","long","Accusative_Plausible","かわいがる","implausible","ga_long_61","C"
244,61,"孫を","o","long","Accusative_Plausible","かわいがる","plausible","o_long_61","D"
245,62,"人材が","ga","short","Accusative_Plausible","育成する","implausible","ga_short_62","B"
246,62,"人材を","o","short","Accusative_Plausible","育成する","plausible","o_short_62","C"
247,62,"人材が","ga","long","Accusative_Plausible","育成する","implausible","ga_long_62","D"
248,62,"人材を","o","long","Accusative_Plausible","育成する","plausible","o_long_62","A"
249,63,"反逆者が","ga","short","Accusative_Plausible","粛正する","implausible","ga_short_63","C"
250,63,"反逆者を","o","short","Accusative_Plausible","粛正する","plausible","o_short_63","D"
251,63,"反逆者が","ga","long","Accusative_Plausible","粛正する","implausible","ga_long_63","A"
252,63,"反逆者を","o","long","Accusative_Plausible","粛正する","plausible","o_long_63","B"
253,64,"候補者が","ga","short","Accusative_Plausible","擁立する","implausible","ga_short_64","D"
254,64,"候補者を","o","short","Accusative_Plausible","擁立する","plausible","o_short_64","A"
255,64,"候補者が","ga","long","Accusative_Plausible","擁立する","implausible","ga_long_64","B"
256,64,"候補者を","o","long","Accusative_Plausible","擁立する","plausible","o_long_64","C"
257,65,"ファンが","ga","short","Accusative_Plausible","魅了する","implausible","ga_short_65","A"
258,65,"ファンを","o","short","Accusative_Plausible","魅了する","plausible","o_short_65","B"
259,65,"ファンが","ga","long","Accusative_Plausible","魅了する","implausible","ga_long_65","C"
260,65,"ファンを","o","long","Accusative_Plausible","魅了する","plausible","o_long_65","D"
261,66,"稚魚が","ga","short","Accusative_Plausible","放流する","implausible","ga_short_66","B"
262,66,"稚魚を","o","short","Accusative_Plausible","放流する","plausible","o_short_66","C"
263,66,"稚魚が","ga","long","Accusative_Plausible","放流する","implausible","ga_long_66","D"
264,66,"稚魚を","o","long","Accusative_Plausible","放流する","plausible","o_long_66","A"
265,67,"弁護士が","ga","short","Accusative_Plausible","雇う","implausible","ga_short_67","C"
266,67,"弁護士を","o","short","Accusative_Plausible","雇う","plausible","o_short_67","D"
267,67,"弁護士が","ga","long","Accusative_Plausible","雇う","implausible","ga_long_67","A"
268,67,"弁護士を","o","long","Accusative_Plausible","雇う","plausible","o_long_67","B"
269,68,"不審者が","ga","short","Accusative_Plausible","通報する","implausible","ga_short_68","D"
270,68,"不審者を","o","short","Accusative_Plausible","通報する","plausible","o_short_68","A"
271,68,"不審者が","ga","long","Accusative_Plausible","通報する","implausible","ga_long_68","B"
272,68,"不審者を","o","long","Accusative_Plausible","通報する","plausible","o_long_68","C"
273,69,"鬼が","ga","short","Accusative_Plausible","退治する","implausible","ga_short_69","A"
274,69,"鬼を","o","short","Accusative_Plausible","退治する","plausible","o_short_69","B"
275,69,"鬼が","ga","long","Accusative_Plausible","退治する","implausible","ga_long_69","C"
276,69,"鬼を","o","long","Accusative_Plausible","退治する","plausible","o_long_69","D"
277,70,"大統領が","ga","short","Accusative_Plausible","暗殺する","implausible","ga_short_70","B"
278,70,"大統領を","o","short","Accusative_Plausible","暗殺する","plausible","o_short_70","C"
279,70,"大統領が","ga","long","Accusative_Plausible","暗殺する","implausible","ga_long_70","D"
280,70,"大統領を","o","long","Accusative_Plausible","暗殺する","plausible","o_long_70","A"
281,71,"妻子が","ga","short","Accusative_Plausible","養う","implausible","ga_short_71","C"
282,71,"妻子を","o","short","Accusative_Plausible","養う","plausible","o_short_71","D"
283,71,"妻子が","ga","long","Accusative_Plausible","養う","implausible","ga_long_71","A"
284,71,"妻子を","o","long","Accusative_Plausible","養う","plausible","o_long_71","B"
285,72,"暴徒が","ga","short","Accusative_Plausible","鎮圧する","implausible","ga_short_72","D"
286,72,"暴徒を","o","short","Accusative_Plausible","鎮圧する","plausible","o_short_72","A"
287,72,"暴徒が","ga","long","Accusative_Plausible","鎮圧する","implausible","ga_long_72","B"
288,72,"暴徒を","o","long","Accusative_Plausible","鎮圧する","plausible","o_long_72","C"
289,73,"卒業生が","ga","short","Accusative_Plausible","送る","implausible","ga_short_73","A"
290,73,"卒業生を","o","short","Accusative_Plausible","送る","plausible","o_short_73","B"
291,73,"卒業生が","ga","long","Accusative_Plausible","送る","implausible","ga_long_73","C"
292,73,"卒業生を","o","long","Accusative_Plausible","送る","plausible","o_long_73","D"
293,74,"死者が","ga","short","Accusative_Plausible","弔う","implausible","ga_short_74","B"
294,74,"死者を","o","short","Accusative_Plausible","弔う","plausible","o_short_74","C"
295,74,"死者が","ga","long","Accusative_Plausible","弔う","implausible","ga_long_74","D"
296,74,"死者を","o","long","Accusative_Plausible","弔う","plausible","o_long_74","A"
297,75,"脱獄犯が","ga","short","Accusative_Plausible","追う","implausible","ga_short_75","C"
298,75,"脱獄犯を","o","short","Accusative_Plausible","追う","plausible","o_short_75","D"
299,75,"脱獄犯が","ga","long","Accusative_Plausible","追う","implausible","ga_long_75","A"
300,75,"脱獄犯を","o","long","Accusative_Plausible","追う","plausible","o_long_75","B"
301,76,"群衆が","ga","short","Accusative_Plausible","煽動する","implausible","ga_short_76","D"
302,76,"群衆を","o","short","Accusative_Plausible","煽動する","plausible","o_short_76","A"
303,76,"群衆が","ga","long","Accusative_Plausible","煽動する","implausible","ga_long_76","B"
304,76,"群衆を","o","long","Accusative_Plausible","煽動する","plausible","o_long_76","C"
305,77,"悪代官が","ga","short","Accusative_Plausible","成敗する","implausible","ga_short_77","A"
306,77,"悪代官を","o","short","Accusative_Plausible","成敗する","plausible","o_short_77","B"
307,77,"悪代官が","ga","long","Accusative_Plausible","成敗する","implausible","ga_long_77","C"
308,77,"悪代官を","o","long","Accusative_Plausible","成敗する","plausible","o_long_77","D"
309,78,"赤子が","ga","short","Accusative_Plausible","あやす","implausible","ga_short_78","B"
310,78,"赤子を","o","short","Accusative_Plausible","あやす","plausible","o_short_78","C"
311,78,"赤子が","ga","long","Accusative_Plausible","あやす","implausible","ga_long_78","D"
312,78,"赤子を","o","long","Accusative_Plausible","あやす","plausible","o_long_78","A"
313,79,"捨て猫が","ga","short","Accusative_Plausible","拾う","implausible","ga_short_79","C"
314,79,"捨て猫を","o","short","Accusative_Plausible","拾う","plausible","o_short_79","D"
315,79,"捨て猫が","ga","long","Accusative_Plausible","拾う","implausible","ga_long_79","A"
316,79,"捨て猫を","o","long","Accusative_Plausible","拾う","plausible","o_long_79","B"
317,80,"羊が","ga","short","Accusative_Plausible","放牧する","implausible","ga_short_80","D"
318,80,"羊を","o","short","Accusative_Plausible","放牧する","plausible","o_short_80","A"
319,80,"羊が","ga","long","Accusative_Plausible","放牧する","implausible","ga_long_80","B"
320,80,"羊を","o","long","Accusative_Plausible","放牧する","plausible","o_long_80","C"
321,81,"敗者が","ga","short","Accusative_Plausible","慰める","implausible","ga_short_81","A"
322,81,"敗者を","o","short","Accusative_Plausible","慰める","plausible","o_short_81","B"
323,81,"敗者が","ga","long","Accusative_Plausible","慰める","implausible","ga_long_81","C"
324,81,"敗者を","o","long","Accusative_Plausible","慰める","plausible","o_long_81","D"
